R_avg,G_avg,B_avg,Color_var,V_var,S_var,label
36.67028924,34.58716025,33.38297146,11958.17169,23160.38823,0.049034963,0
35.21039302,25.2597419,24.81352584,13154.38312,23462.36409,0.206874492,0
30.25349965,25.65168416,22.59504978,14068.24534,24744.71309,0.154539872,0
44.74465135,17.86469101,17.57179644,9563.891509,28365.76772,0.281458879,0
31.35267861,37.75635722,33.16899307,6510.286459,24727.16641,0.135509213,0
35.1229001,37.01669247,33.62960733,12999.20906,20030.60862,0.129783024,0
7.777501352,7.872904273,7.526771228,13269.52262,22953.24825,0.113803244,0
33.23969713,28.83190914,30.31357491,2244.860835,28843.04892,0.199806318,0
39.39762034,36.83645214,37.75240671,11991.36147,27083.39955,0.178832968,0
40.71693536,26.04101994,25.25166965,14193.25262,22808.93238,0.188729133,0
38.82942318,35.39065651,34.06650325,14608.04682,23446.29883,0.047986735,0
39.53277813,36.38054876,36.10337661,12073.94486,25029.31367,0.116147659,0
36.53232935,34.4345402,33.03279836,16406.94975,18883.33742,0.077097206,0
28.50519174,29.80007156,28.50510315,13608.60122,17577.9057,0.037886316,0
44.6403517,40.80213252,36.582902,8658.025181,27971.64555,0.256530165,0
22.47340595,20.04906412,18.42582986,19979.13553,23572.10924,0.041463972,0
40.37070883,37.56242299,30.76295017,13831.29461,21896.71658,0.070771784,0
14.44060468,29.482227,29.55265508,10392.62561,27279.73601,0.200053668,0
24.18408741,13.98286088,17.68707913,12224.18544,18406.96729,0.25009813,0
15.59551524,34.69899577,18.91294988,12809.43256,27758.95108,0.322155586,0
28.85266052,30.03837956,35.01394122,11764.67638,24486.23928,0.281820193,0
34.40282302,33.61837351,33.88918475,14287.2288,15404.41499,0.002778219,0
21.40355546,22.07005877,19.24060348,15019.31234,20326.32409,0.074719574,0
41.42881795,32.23354377,28.08785498,17272.62045,23529.76795,0.224496989,0
39.28512546,32.93245539,33.6771734,12451.55578,16447.07018,0.29164232,0
36.79819382,34.18236327,32.08264918,11770.03892,16942.91297,0.08504008,0
46.12087037,33.86938272,26.99340741,12005.18953,30462.03968,0.145001414,0
28.16342444,26.63399882,25.78023782,16040.50781,22117.17351,0.031808094,0
29.21803973,27.21349471,26.62998361,17876.38178,17038.18064,0.067943876,0
16.1598026,14.06373263,14.94063965,16533.23609,18326.39047,0.13149512,0
41.11335273,29.44207783,29.28700381,7012.175267,26832.5254,0.238580493,0
41.80378583,41.80378583,41.80378583,12043.50336,16703.01825,0,0
36.15356835,28.67719276,27.77631432,15362.30688,21721.55902,0.155098479,0
45.36882671,40.86450287,42.01280494,9390.893775,27326.52633,0.2692139,0
36.96969126,31.18098153,26.82511536,14416.34507,25773.08917,0.298929186,0
43.8790491,16.04740269,16.66022368,6435.852326,30336.46583,0.34685927,0
44.73648425,28.8102182,22.57752051,9830.134717,28134.12986,0.330010142,0
37.10582122,22.02770938,10.57971107,13729.57485,31509.5955,0.24351323,0
25.19793736,23.65500423,24.13671193,16274.17679,21606.26028,0.004066333,0
43.02938474,30.78666603,31.0149139,10204.97752,26048.31161,0.228611576,0
23.91669066,33.45956459,25.10753709,14379.5354,26715.29274,0.263503971,0
36.89483778,36.00484943,34.63175301,12338.13289,22702.5756,0.130225916,0
41.14431356,17.69679267,16.06667374,14449.73624,27522.21602,0.305806996,0
42.09687085,22.72597222,23.02596984,13809.865,25840.06263,0.222796896,0
43.20175687,39.64441263,33.52001729,11863.11075,27290.94936,0.362967011,0
6.564633199,20.4875295,32.10457482,9098.848876,23255.43781,0.356875098,0
38.83551029,35.05257613,32.72292593,15282.50931,24924.94712,0.150933997,0
46.20293028,40.25234199,30.19761878,11090.93099,28059.92289,0.260581412,0
20.37261018,22.25338356,23.36134303,18138.42151,16846.37893,0.078698174,0
31.30088254,21.68480313,19.79192642,11559.00745,17994.78627,0.21756739,0
19.62561815,15.65623667,16.12707441,17457.63247,26404.49895,0.239047367,0
13.79319898,12.45756056,12.0402831,20554.61279,16654.39845,0.054844912,0
25.52879036,22.61346881,21.13073873,17051.17088,21015.89829,0.069249121,0
42.45244916,40.70408419,40.60381797,14115.75645,19135.89742,0.04903861,0
35.23968811,17.16709323,15.53186517,13357.18575,26567.8537,0.107197455,0
44.77558025,39.58782716,38.94333951,11319.60742,19068.20128,0.388276136,0
28.97095339,25.84535004,27.96093563,13018.02404,22761.09844,0.244616727,0
23.36673502,17.0662844,14.92624522,13348.58461,24602.76734,0.236804756,0
34.62188271,21.52487503,24.23551125,14316.19941,21095.51977,0.10831699,0
46.19154912,43.13420306,43.36836973,10725.28765,20570.2608,0.168953128,0
38.1731043,19.04396703,9.711350605,7559.037903,24226.51707,0.386924455,0
43.22994388,40.07470353,39.15398906,10523.20468,19139.33098,0.206557373,0
44.81171,24.27425857,21.05143826,14020.01263,26063.25768,0.122313597,0
38.90782188,32.13262428,30.65680801,10600.87434,23260.15747,0.234570732,0
30.727437,27.21585022,24.81804705,10654.27193,21723.75239,0.226945763,0
37.17025889,24.18788049,23.13134377,14622.31876,24636.06342,0.081660707,0
32.42780853,19.7374008,23.58111766,8662.061843,33187.80593,0.25672767,0
41.22859271,37.78023947,37.97202942,13757.89207,24936.40776,0.199239066,0
6.644735563,25.13876144,19.23898344,9847.244296,22466.06219,0.267290948,0
41.15365356,28.62869977,29.45716271,13478.30085,27116.37434,0.167119345,0
31.53005368,28.64873078,23.96005696,12631.08972,25906.33634,0.151900405,0
38.33434847,29.54746733,26.1494021,9980.036245,23774.17439,0.166301668,0
20.28646475,20.85970636,18.39000626,16392.72848,20586.556,0.095730725,0
41.40758131,31.83630081,24.20150434,13477.9197,24268.49522,0.2348887,0
32.5447637,17.28411492,14.61754948,8631.160015,18289.15277,0.291126867,0
35.29660086,30.12755498,31.38482117,15486.02701,21108.76814,0.129247429,0
41.83478667,40.51523698,40.46047699,13595.93453,21900.19858,0.029009863,0
28.32244898,23.5217813,23.80157364,13625.26289,15914.86844,0.056799527,0
35.5931938,32.66114306,31.08195379,9357.799198,19468.01051,0.050487257,0
39.51377719,32.70901545,33.35498858,12439.16701,19804.64651,0.081493979,0
44.20927492,37.01738441,36.47888664,12152.41452,21588.15535,0.312230699,0
35.8712538,36.28746286,37.56057032,10966.80424,24848.56446,0.141641811,0
36.65296264,27.71999096,28.74711461,10612.77831,27456.66775,0.228763499,0
46.45325944,25.0184598,23.28533338,5277.751713,33844.75017,0.213559373,0
39.26180798,33.45348043,31.52715848,8582.168804,25640.95972,0.087098702,0
45.76695204,45.69880714,45.77937316,14977.00119,19199.03289,0.01686743,0
